Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2020-03-06,"56,500","110,500","179,500"
2020-03-07,"56,500","110,500","179,500"
2020-03-08,"56,500","110,500","179,500"
2020-03-09,"54,200","104,000","168,000"
2020-03-10,"54,600","102,000","172,000"
2020-03-11,"52,100","100,000","170,000"
2020-03-12,"50,800","95,000","166,500"
2020-03-13,"49,950","87,200","166,000"
2020-03-14,"49,950","87,200","166,000"
2020-03-15,"49,950","87,200","166,000"
2020-03-16,"48,900","82,900","155,000"
2020-03-17,"47,300","80,100","151,000"
2020-03-18,"45,600","73,500","146,000"
2020-03-19,"42,950","65,900","144,000"
2020-03-20,"45,400","71,100","154,000"
2020-03-21,"45,400","71,100","154,000"
2020-03-22,"45,400","71,100","154,000"
2020-03-23,"42,500","68,900","143,000"
2020-03-24,"46,950","74,800","156,000"
2020-03-25,"48,650","84,500","156,000"
2020-03-26,"47,800","84,900","152,500"
2020-03-27,"48,300","86,400","164,000"
2020-03-28,"48,300","86,400","164,000"
2020-03-29,"48,300","86,400","164,000"
2020-03-30,"47,850","85,400","162,500"
2020-03-31,"47,750","88,700","170,000"
2020-04-01,"45,800","85,400","163,000"
2020-04-02,"46,800","86,600","173,500"
2020-04-03,"47,000","86,300","172,000"
2020-04-04,"47,000","86,300","172,000"
2020-04-05,"47,000","86,300","172,000"
2020-04-06,"48,700","88,800","173,000"
2020-04-07,"49,600","90,400","169,500"
2020-04-08,"48,600","90,000","166,500"
2020-04-09,"49,100","97,100","167,500"
2020-04-10,"49,250","99,700","166,500"
2020-04-11,"49,250","99,700","166,500"
2020-04-12,"49,250","99,700","166,500"
2020-04-13,"48,300","97,800","166,000"
2020-04-14,"49,000","100,000","168,500"
2020-04-15,"49,000","100,000","168,500"
2020-04-16,"49,000","99,100","170,500"
2020-04-17,"51,400","100,500","179,000"
2020-04-18,"51,400","100,500","179,000"
2020-04-19,"51,400","100,500","179,000"
2020-04-20,"50,100","97,600","180,000"
2020-04-21,"49,250","93,500","178,500"
2020-04-22,"49,850","92,600","182,000"
2020-04-23,"49,850","92,400","190,000"
2020-04-24,"49,350","90,100","192,500"
2020-04-25,"49,350","90,100","192,500"
2020-04-26,"49,350","90,100","192,500"
2020-04-27,"49,850","91,600","197,500"
2020-04-28,"50,100","93,200","198,000"
2020-04-29,"50,000","93,600","197,500"
2020-04-30,"50,000","93,600","197,500"
2020-05-01,"50,000","93,600","197,500"
2020-05-02,"50,000","93,600","197,500"
2020-05-03,"50,000","93,600","197,500"
2020-05-04,"48,500","91,500","199,000"
2020-05-05,"48,500","91,500","199,000"
2020-05-06,"49,200","93,200","212,000"
2020-05-07,"48,800","92,600","215,500"
2020-05-08,"48,800","94,500","214,000"
2020-05-09,"48,800","94,500","214,000"
2020-05-10,"48,800","94,500","214,000"
2020-05-11,"48,400","93,700","214,500"
2020-05-12,"47,900","91,900","219,500"
2020-05-13,"48,550","93,100","218,500"
2020-05-14,"48,000","92,300","219,000"
2020-05-15,"47,850","92,300","213,000"
2020-05-16,"47,850","92,300","213,000"
2020-05-17,"47,850","92,300","213,000"
2020-05-18,"48,800","91,900","215,000"
2020-05-19,"50,300","99,100","213,500"
2020-05-20,"50,000","97,300","222,000"
2020-05-21,"49,950","97,200","225,000"
2020-05-22,"48,750","94,500","230,500"
2020-05-23,"48,750","94,500","230,500"
2020-05-24,"48,750","94,500","230,500"
2020-05-25,"48,850","96,000","241,000"
2020-05-26,"49,250","97,800","239,000"
2020-05-27,"49,900","98,100","228,500"
2020-05-28,"50,400","97,200","240,500"
2020-05-29,"50,700","98,000","226,000"
2020-05-30,"50,700","98,000","226,000"
2020-05-31,"50,700","98,000","226,000"
2020-06-01,"51,200","100,000","237,000"
2020-06-02,"51,400","102,500","234,000"
2020-06-03,"54,500","108,500","225,500"
2020-06-04,"54,600","108,500","232,500"
2020-06-05,"55,500","111,000","231,000"
2020-06-06,"55,500","111,000","231,000"
2020-06-07,"55,500","111,000","231,000"
2020-06-08,"54,900","113,000","240,500"
2020-06-09,"55,500","112,000","237,500"
